Order_ID,Order_Date,Month,Quarter,Year,Product_Name,Category,Subcategory,Brand,Unit,Unit_Price,Discount_Percent,Discounted_Price,Quantity,Total_Sale,Vendor_Name,City,Payment_Method,Order_Status
MM-ORD-1001,2024-08-16,Aug 2024,Q3 2024,2024,Total Engine Oil 10W-30 1L,Total,Engine Oil,Total,litre,410,5,389.5,9,3505.5,Khandelwal Shops,Gangapur City,Cash,Cancelled
MM-ORD-1002,2025-08-27,Aug 2025,Q3 2025,2025,Total Engine Oil 10W-30 1L,Total,Engine Oil,Total,litre,410,0,410.0,18,7380.0,Rajputana Machinery Co.,Jaipur,UPI,Delivered
MM-ORD-1003,2025-06-01,Jun 2025,Q2 2025,2025,Castrol Engine Oil 10W-30 1L,Castrol,Engine Oil,Castrol,litre,420,5,399.0,7,2793.0,Goyal Motors,Gangapur City,Bank Transfer,Delivered
MM-ORD-1004,2024-08-13,Aug 2024,Q3 2024,2024,Hydraulic Seal Kit,OEM,Tractor Parts,OEM,piece,450,12,396.0,18,7128.0,Kalyan Machinery Parts,Gangapur City,UPI,Processing
MM-ORD-1005,2025-12-15,Dec 2025,Q4 2025,2025,Bearing 6205,SKF,Motor Parts,SKF,piece,85,0,85.0,1,85.0,Ranthambore Machinery,Sawai Madhopur,UPI,Delivered
MM-ORD-1006,2024-04-14,Apr 2024,Q2 2024,2024,Bearing 6205,SKF,Motor Parts,SKF,piece,85,10,76.5,7,535.5,Shiv Automobile,Gangapur City,Cash,Shipped
MM-ORD-1007,2026-04-06,Apr 2026,Q2 2026,2026,Total Engine Oil 10W-30 1L,Total,Engine Oil,Total,litre,410,8,377.2,12,4526.4,Pawan Motors,Gangapur City,Cash,Cancelled
MM-ORD-1008,2024-03-21,Mar 2024,Q1 2024,2024,Air Filter Mahindra 265,OEM,Tractor Parts,OEM,piece,280,12,246.4,4,985.6,Capital Tools,Jaipur,Bank Transfer,Delivered
MM-ORD-1009,2025-12-22,Dec 2025,Q4 2025,2025,Fuel Filter Universal,OEM,Tractor Parts,OEM,piece,120,5,114.0,12,1368.0,Rajdhani Machinery,Sawai Madhopur,Cash,Delivered
MM-ORD-1010,2026-05-25,May 2026,Q2 2026,2026,Turbo Engine Oil 1L,Turbo,Engine Oil,Turbo,litre,360,0,360.0,10,3600.0,Ranthambore Machinery,Sawai Madhopur,Cash,Delivered
MM-ORD-1011,2024-06-15,Jun 2024,Q2 2024,2024,Motor Shaft 1 inch,Local,Motor Parts,Local,piece,350,10,315.0,15,4725.0,Agarwal Machinery,Gangapur City,UPI,Delivered
MM-ORD-1012,2025-09-15,Sep 2025,Q3 2025,2025,Veedol Engine Oil 1L,Veedol,Engine Oil,Veedol,litre,370,0,370.0,9,3330.0,Rajputana Machinery Co.,Jaipur,Bank Transfer,Delivered
MM-ORD-1013,2025-04-18,Apr 2025,Q2 2025,2025,Hydraulic Seal Kit,OEM,Tractor Parts,OEM,piece,450,0,450.0,8,3600.0,Tiger Motors,Sawai Madhopur,UPI,Delivered
MM-ORD-1014,2024-08-22,Aug 2024,Q3 2024,2024,Hydraulic Seal Kit,OEM,Tractor Parts,OEM,piece,450,0,450.0,11,4950.0,Kalyan Machinery Parts,Gangapur City,Cash,Delivered
MM-ORD-1015,2025-08-03,Aug 2025,Q3 2025,2025,Motor Shaft 1 inch,Local,Motor Parts,Local,piece,350,5,332.5,3,997.5,Agarwal Machinery,Gangapur City,Bank Transfer,Delivered
MM-ORD-1016,2025-10-20,Oct 2025,Q4 2025,2025,Veedol Engine Oil 1L,Veedol,Engine Oil,Veedol,litre,370,12,325.6,16,5209.6,Rajputana Machinery Co.,Jaipur,UPI,Delivered
MM-ORD-1017,2026-02-03,Feb 2026,Q1 2026,2026,Bearing 6205,SKF,Motor Parts,SKF,piece,85,8,78.2,8,625.6,Shiv Automobile,Gangapur City,Bank Transfer,Shipped
MM-ORD-1018,2024-05-21,May 2024,Q2 2024,2024,PTO Shaft,OEM,Tractor Parts,OEM,piece,2200,5,2090.0,12,25080.0,Jaipur Auto Parts,Jaipur,Bank Transfer,Shipped
MM-ORD-1019,2024-06-05,Jun 2024,Q2 2024,2024,Remola Engine Oil 10W-30 1L,Remola,Engine Oil,Remola,litre,380,0,380.0,2,760.0,Ranthambore Machinery,Sawai Madhopur,Bank Transfer,Delivered
MM-ORD-1020,2025-01-25,Jan 2025,Q1 2025,2025,Winding Wire 20 SWG,Finolex,Motor Parts,Finolex,piece,450,12,396.0,3,1188.0,Pink City Motors,Jaipur,Bank Transfer,Shipped
MM-ORD-1021,2025-11-27,Nov 2025,Q4 2025,2025,Clutch Plate John Deere,OEM,Tractor Parts,OEM,piece,1200,0,1200.0,18,21600.0,Agarwal Machinery,Gangapur City,Bank Transfer,Delivered
MM-ORD-1022,2024-04-24,Apr 2024,Q2 2024,2024,Hydraulic Seal Kit,OEM,Tractor Parts,OEM,piece,450,10,405.0,9,3645.0,Ranthambore Machinery,Sawai Madhopur,UPI,Shipped
MM-ORD-1023,2025-05-27,May 2025,Q2 2025,2025,Gulf Gear Oil EP-90 5L,Gulf,Gear Oil,Gulf,litre,1100,8,1012.0,1,1012.0,Rajasthan Machinery Hub,Jaipur,Cash,Processing
MM-ORD-1024,2024-06-05,Jun 2024,Q2 2024,2024,Total Engine Oil 10W-30 1L,Total,Engine Oil,Total,litre,410,5,389.5,10,3895.0,SM Auto Parts,Sawai Madhopur,UPI,Delivered
MM-ORD-1025,2025-09-05,Sep 2025,Q3 2025,2025,Hydraulic Seal Kit,OEM,Tractor Parts,OEM,piece,450,0,450.0,17,7650.0,Ranthambore Machinery,Sawai Madhopur,UPI,Shipped
MM-ORD-1026,2024-09-02,Sep 2024,Q3 2024,2024,Castrol Engine Oil 10W-30 1L,Castrol,Engine Oil,Castrol,litre,420,8,386.4,12,4636.8,Goyal Motors,Gangapur City,Cash,Delivered
MM-ORD-1027,2026-04-15,Apr 2026,Q2 2026,2026,PTO Shaft,OEM,Tractor Parts,OEM,piece,2200,15,1870.0,3,5610.0,Goyal Motors,Gangapur City,Cash,Processing
MM-ORD-1028,2024-09-28,Sep 2024,Q3 2024,2024,HP Engine Oil 10W-30 1L,HP,Engine Oil,HP,litre,390,0,390.0,16,6240.0,Shiv Automobile,Gangapur City,Bank Transfer,Processing
MM-ORD-1029,2025-12-31,Dec 2025,Q4 2025,2025,Winding Wire 20 SWG,Finolex,Motor Parts,Finolex,piece,450,5,427.5,18,7695.0,Kalyan Machinery Parts,Gangapur City,UPI,Shipped
MM-ORD-1030,2024-05-03,May 2024,Q2 2024,2024,Capacitor 40uF,Havells,Motor Parts,Havells,piece,150,15,127.5,17,2167.5,Rajasthan Machinery Hub,Jaipur,Cash,Delivered
MM-ORD-1031,2025-08-25,Aug 2025,Q3 2025,2025,Remola Engine Oil 10W-30 1L,Remola,Engine Oil,Remola,litre,380,5,361.0,1,361.0,Pawan Motors,Gangapur City,Cash,Delivered
MM-ORD-1032,2024-03-10,Mar 2024,Q1 2024,2024,Remola Engine Oil 10W-30 1L,Remola,Engine Oil,Remola,litre,380,5,361.0,2,722.0,Tiger Motors,Sawai Madhopur,Cash,Delivered
MM-ORD-1033,2025-11-16,Nov 2025,Q4 2025,2025,Remola Engine Oil 10W-30 1L,Remola,Engine Oil,Remola,litre,380,8,349.6,8,2796.8,Capital Tools,Jaipur,UPI,Delivered
MM-ORD-1034,2024-09-05,Sep 2024,Q3 2024,2024,Hydraulic Seal Kit,OEM,Tractor Parts,OEM,piece,450,15,382.5,19,7267.5,Shiv Automobile,Gangapur City,UPI,Shipped
MM-ORD-1035,2024-12-28,Dec 2024,Q4 2024,2024,Veedol Engine Oil 1L,Veedol,Engine Oil,Veedol,litre,370,12,325.6,4,1302.4,Goyal Motors,Gangapur City,UPI,Shipped
MM-ORD-1036,2024-03-03,Mar 2024,Q1 2024,2024,Air Filter Mahindra 265,OEM,Tractor Parts,OEM,piece,280,0,280.0,2,560.0,SM Auto Parts,Sawai Madhopur,UPI,Cancelled
MM-ORD-1037,2024-07-15,Jul 2024,Q3 2024,2024,Capacitor 25uF,Havells,Motor Parts,Havells,piece,120,5,114.0,4,456.0,Ranthambore Machinery,Sawai Madhopur,Cash,Processing
MM-ORD-1038,2024-10-12,Oct 2024,Q4 2024,2024,Air Filter Mahindra 265,OEM,Tractor Parts,OEM,piece,280,0,280.0,14,3920.0,Shiv Automobile,Gangapur City,UPI,Delivered
MM-ORD-1039,2024-02-21,Feb 2024,Q1 2024,2024,Remola Engine Oil 10W-30 1L,Remola,Engine Oil,Remola,litre,380,0,380.0,18,6840.0,Rajasthan Machinery Hub,Jaipur,Bank Transfer,Processing
MM-ORD-1040,2025-02-20,Feb 2025,Q1 2025,2025,Castrol Engine Oil 10W-30 1L,Castrol,Engine Oil,Castrol,litre,420,0,420.0,8,3360.0,Goyal Motors,Gangapur City,UPI,Shipped
MM-ORD-1041,2024-06-17,Jun 2024,Q2 2024,2024,Veedol Engine Oil 1L,Veedol,Engine Oil,Veedol,litre,370,0,370.0,13,4810.0,SM Auto Parts,Sawai Madhopur,UPI,Delivered
MM-ORD-1042,2025-03-09,Mar 2025,Q1 2025,2025,Motor Shaft 1 inch,Local,Motor Parts,Local,piece,350,8,322.0,15,4830.0,Agarwal Machinery,Gangapur City,Bank Transfer,Cancelled
MM-ORD-1043,2024-07-13,Jul 2024,Q3 2024,2024,Hydraulic Seal Kit,OEM,Tractor Parts,OEM,piece,450,0,450.0,16,7200.0,Rajputana Machinery Co.,Jaipur,UPI,Delivered
MM-ORD-1044,2026-02-04,Feb 2026,Q1 2026,2026,Castrol Gear Oil EP-90 5L,Castrol,Gear Oil,Castrol,litre,1180,0,1180.0,18,21240.0,Pink City Motors,Jaipur,UPI,Delivered
MM-ORD-1045,2024-02-28,Feb 2024,Q1 2024,2024,Castrol Gear Oil EP-90 5L,Castrol,Gear Oil,Castrol,litre,1180,0,1180.0,16,18880.0,Pink City Motors,Jaipur,Bank Transfer,Delivered
MM-ORD-1046,2025-11-22,Nov 2025,Q4 2025,2025,Gulf Gear Oil EP-90 5L,Gulf,Gear Oil,Gulf,litre,1100,0,1100.0,20,22000.0,Goyal Motors,Gangapur City,Cash,Shipped
MM-ORD-1047,2025-08-15,Aug 2025,Q3 2025,2025,Total Engine Oil 10W-30 1L,Total,Engine Oil,Total,litre,410,5,389.5,19,7400.5,Rajdhani Machinery,Sawai Madhopur,Bank Transfer,Delivered
MM-ORD-1048,2024-09-24,Sep 2024,Q3 2024,2024,Fuel Filter Universal,OEM,Tractor Parts,OEM,piece,120,10,108.0,14,1512.0,Goyal Motors,Gangapur City,Cash,Cancelled
MM-ORD-1049,2024-05-14,May 2024,Q2 2024,2024,Capacitor 25uF,Havells,Motor Parts,Havells,piece,120,12,105.6,9,950.4,Kalyan Machinery Parts,Gangapur City,Bank Transfer,Cancelled
MM-ORD-1050,2024-01-10,Jan 2024,Q1 2024,2024,Bearing 6206,FAG,Motor Parts,FAG,piece,95,0,95.0,11,1045.0,Rajasthan Machinery Hub,Jaipur,UPI,Processing
MM-ORD-1051,2025-06-02,Jun 2025,Q2 2025,2025,PTO Shaft,OEM,Tractor Parts,OEM,piece,2200,5,2090.0,3,6270.0,Goyal Motors,Gangapur City,UPI,Delivered
MM-ORD-1052,2025-01-13,Jan 2025,Q1 2025,2025,Capacitor 40uF,Havells,Motor Parts,Havells,piece,150,5,142.5,3,427.5,Rajdhani Machinery,Sawai Madhopur,UPI,Delivered
MM-ORD-1053,2025-09-18,Sep 2025,Q3 2025,2025,Air Filter Mahindra 265,OEM,Tractor Parts,OEM,piece,280,8,257.6,18,4636.8,SM Auto Parts,Sawai Madhopur,Bank Transfer,Processing
MM-ORD-1054,2025-11-10,Nov 2025,Q4 2025,2025,Castrol Engine Oil 10W-30 1L,Castrol,Engine Oil,Castrol,litre,420,8,386.4,18,6955.2,Rajputana Machinery Co.,Jaipur,Cash,Delivered
